Class Name Short,Class Name Long,Credits
PolSci 491,CAPSTONE SEMINAR IN POL SCIENC,3.0
PolSci 496,CAUSES OF WAR & CONFLICT RESOL,3.0
PolSci 499,INDEPENDENT STUDY,3.0
Portuguese 132,Accelerated Basic Portuguese,3.0
Portuguese 212,ACCEL. BASIC PORTUGUESE II,3.0
Portuguese 222,INTERMEDIATE PORTUGUESE II,3.0
Portuguese 322,ADV PORTUGUSE COMMUNICATIONS,3.0
Portuguese 410,CURR. EVENTS/PORTUG. SPKG WORL,3.0
Portuguese 440,PORTUGUESE SEM. ABROAD EX PREP,1.0
ReadStrat 103,READING ENHANCEMENT/FIRST-YEAR,0.0
Russian 132,BASIC RUSSIAN,3.0
Russian 222,INTERMED RUSSIAN II,3.0
Russian 322,ADVANCED RUSSIAN,3.0
Russian 410,CURR. EVENTS/RUSSIAN-SPKG WORL,3.0
Russian 430,ADV. STUDIES IN RUSSIAN,3.0
SocSci 212,GEOPOLITICS,3.0
SocSci 311,INTERNATIONAL SECURITY STUDEIS,3.0
SocSci 412,GEOPOLITICS,3.0
SocSci 420,LAW & ECONOMICS,3.0
SocSci 444,INTERNATIONAL POLITICAL ECONOM,3.0
SocSci 467,NUCLEAR WEAPONS POLICY & STRAT,3.0
